Brand,Price Value,Currency,Rating,Ratings Count,Processor,Screen Size,Manufacturer Color,Color,Ram Size,SSD Capacity,GPU,Processor Speed,Type,Release Year,Model,OS,Features,Hard Drive Capacity,Country Region Of Manufacture,Storage Type,Resolution Width,Resolution Height
CHUWI,303.68,$,Unknown,4.0,Quad Core,14.0,Unknown,Gray,8 GB,"1 Used,  1 support Max 1TB M.2 Extend",Intel Iris Plus Graphics 655,Max up to 3.80 GHz,Notebook/Laptop,2021,CoreBook X,Windows 11 Home,"Backlit Keyboard,  Built-in Microphone,  Built-in Webcam",512 GB SSD,China,SSD (Solid State Drive),2160.0,1440.0
Dell,399.99,$,Unknown,4.0,Intel Core i7 8th Gen.,14.0,Unknown,Black,Unknown,Unknown,Intel UHD Graphics 620,4.20 GHz (1.90 GHz Base Frequency),Notebook/Laptop,2023,Dell Latitude 7490,Windows 11 Pro,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, LTE, Multi-Touch Trackpad, Widescreen Display, Wi-Fi",2 TB,Unknown,SSD (Solid State Drive),1920.0,1080.0
Dell,175.0,$,Unknown,4.0,Intel Core i5-6300U,14.0,Unknown,Black,16 GB,500 GB,Intel HD Graphics,2.40 GHz,Notebook/Laptop,2019,Dell Latitude E5470,Windows 10 Pro,"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen, Widescreen Display, Wi-Fi",500 GB,China,SSD (Solid State Drive),1920.0,1080.0
HP,84.99,$,Unknown,4.0,Intel Celeron N,11.6,Unknown,Black,4 GB,Unknown,Intel HD Graphics 500,2.40 GHz,Notebook/Laptop,Unknown,HP Chromebook 11 G6,Chrome OS,"Bluetooth, Built-in Microphone, Built-in Webcam, Widescreen Display, Wi-Fi",16 GB,Unknown,eMMC,1366.0,768.0
Dell,101.22,$,Unknown,4.0,Intel Core i5 6th Gen.,12.5,Unknown,Unknown,8 GB,256 GB,Integrated,Minimum 1.40 GHz,Notebook/Laptop,2015,Various Models,Windows 10,"10/100 LAN Card, Built-in Microphone, Built-in Webcam, Wi-Fi",NO HDD,Unknown,SSD (Solid State Drive),1366.0,768.0
Acer,49.99,$,4.5 out of 5 stars,193.0,Intel Celeron,11.6,Black,Black,4 GB,16 GB,Unknown,1.60 GHz,Laptop,2017,Chromebook C738T-C44Z,Chrome OS,"Touchscreen, Bluetooth",Unknown,Unknown,SSD (Solid State Drive),1366.0,768.0
HP,39.59,$,4.5 out of 5 stars,23.0,Intel Celeron,11.6,Unknown,Black,4 GB,16GB,Unknown,1.60 GHz,Notebook/Laptop,2017,HP Chromebook 11 G5,Chrome OS,"Bluetooth, Built-in Webcam",16 GB,Unknown,SSD (Solid State Drive),1920.0,1080.0
Acer,34.99,$,5 out of 5 stars,20.0,Intel Celeron Dual-Core,11.6,Unknown,"Gray, Granite Gray",2GB,Unknown,Unknown,1.00 GHz.4ghz,Netbook,Unknown,Chromebook C720-2848,Chrome OS,Unknown,16GB,Unknown,Unknown,1920.0,1080.0
Dell,279.99,$,Unknown,4.0,i7 7th,14.0,Unknown,Black,16 GB,500 GB,Unknown,2.80 GHz,Notebook/Laptop,Unknown,Dell Latitude 7480,win 11 pro,Wi-Fi,512 GB,Unknown,SSD (Solid State Drive),1920.0,1080.0
HP,125.0,$,5 out of 5 stars,5.0,Intel Core i3 10th Gen.,14.0,Mineral Silver,Silver,8 GB,64 GB,Intel UHD Graphics,2.10 GHz,Notebook/Laptop,2020,Samsung Chromebook 3,Chrome OS,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi, Backlit Keyboard, Built-in Microphone",Unknown,Unknown,eMMC,1920.0,1080.0
